﻿artist,None
,None
ROOKiEZ is PUNK'D,None
Nutty,"대한민국,솔로",솔로
손빈아,"대한민국,남성,솔로",솔로
한가빈,"대한민국,여성,솔로",솔로
Five For Fighting,"미국,남성,솔로",솔로
Radiohead,영국/남성/그룹,그룹
SEKAI NO OWARI,일본/혼성/그룹,그룹
미란이 외 19명,None
Akeboshi (明星),"일본,남성,솔로",솔로
원슈타인,"대한민국,솔로",솔로
전철민,"대한민국,남성,솔로",솔로
남혁,"대한민국,남성,솔로",솔로
Sting,"영국,남성,솔로",솔로
비비 (BIBI),"대한민국,여성,솔로",솔로
유아 (오마이걸),"대한민국,여성,솔로",솔로
서진영,"대한민국,여성,솔로",솔로
MIIII,None
Camila Cabello,"미국,여성,솔로",솔로
최예근 밴드,대한민국/혼성/그룹,그룹
Zion.T,"대한민국,남성,솔로",솔로
박정민,"대한민국,남성,솔로",솔로
더 씨야,대한민국/여성/그룹,그룹
최연숙,"대한민국,여성,솔로",솔로
민해경,"대한민국,여성,솔로",솔로
김규목,"대한민국,남성,솔로",솔로
Jonas Blue,"영국,남성,솔로",솔로
김진호 (SG워너비),"대한민국,남성,솔로",솔로
어반스페이스,"대한민국,여성,솔로",솔로
엘키 (CLC),"홍콩,여성,솔로",솔로
하춘화,"대한민국,여성,솔로",솔로
함중아와 양키스,대한민국/남성/그룹,그룹
G.R.L.,미국/여성/그룹,그룹
신승태,"대한민국,남성,솔로",솔로
이병철,"대한민국,남성,솔로",솔로
이혜영,"대한민국,여성,솔로",솔로
조영경,"대한민국,여성,솔로",솔로
제국의아이들 (ZE:A),대한민국/남성/그룹,그룹
큐티엘,대한민국/여성/그룹,그룹
이찬원,"대한민국,남성,솔로",솔로
팔로알토 (Paloalto),"대한민국,남성,솔로",솔로
지화숙,"대한민국,여성,솔로",솔로
Silly Boot,솔로,솔로
차여울밴드,대한민국/혼성/그룹,그룹
이정현,"대한민국,여성,솔로",솔로
김신의 (몽니),"대한민국,남성,솔로",솔로
Selena Gomez,"미국,여성,솔로",솔로
TREASURE (트레저),대한민국/남성/그룹,그룹
Nulbarich,일본/그룹,그룹
산들,"대한민국,남성,솔로",솔로
소녀시대 (GIRLS' GENERATION),대한민국/여성/그룹,그룹
Narr.배철수,None
정효빈,"대한민국,여성,솔로",솔로
미스티 블루,대한민국/혼성/그룹,그룹
김민정,"대한민국,솔로",솔로
강민수(AQUINAS),"대한민국,남성,솔로",솔로
Natalie Cole,"미국,여성,솔로",솔로
XYZ,솔로,솔로
김나윤,"대한민국,여성,솔로",솔로
차성연,"대한민국,여성,솔로",솔로
박해성,"대한민국,남성,솔로",솔로
DJ DOC,대한민국/남성/그룹,그룹
sogumm,"대한민국,여성,솔로",솔로
Celine Dion,"캐나다,여성,솔로",솔로
권인하,"대한민국,남성,솔로",솔로
朱兴东,None
Agee Expression,"대한민국,남성,솔로",솔로
김민기,"대한민국,남성,솔로",솔로
박혜수,"대한민국,솔로",솔로
정동원,"대한민국,남성,솔로",솔로
강순동,"대한민국,솔로",솔로
양파,"대한민국,여성,솔로",솔로
北島三郎,None
박용인 (어반자카파),"대한민국,남성,솔로",솔로
박서우,"대한민국,여성,솔로",솔로
华晨宇,None
블랙나인 (BLACK NINE),"대한민국,남성,솔로",솔로
김정수,"대한민국,남성,솔로",솔로
CYaRon!,None
이한울,"대한민국,남성,솔로",솔로
Crystal Bernard,"미국,여성,솔로",솔로
Lil Wayne,"미국,남성,솔로",솔로
제시 (Jessi),"미국,여성,솔로",솔로
WOODZ (조승연),"대한민국,남성,솔로",솔로
Hikaru Utada (우타다 히카루),"일본,여성,솔로",솔로
William Singe,"오스트레일리아,남성,솔로",솔로
Sukima Switch,일본/남성/그룹,그룹
김소연,"대한민국,여성,솔로",솔로
지윤해,"대한민국,남성,솔로",솔로
휴우,솔로,솔로
Cherry B (체리비),"대한민국,여성,솔로",솔로
윤산하 (ASTRO),"대한민국,남성,솔로",솔로
Vinida,None
조정민,"대한민국,여성,솔로",솔로
이이경,"대한민국,남성,솔로",솔로
클로버,대한민국/혼성/그룹,그룹
주희,"대한민국,여성,솔로",솔로
門脇陸男,None
차은우 (ASTRO),"대한민국,남성,솔로",솔로
Brave Sound,None
The Civil Wars,미국/혼성/그룹,그룹
블루 (BLOO),"대한민국,남성,솔로",솔로
김정민,"대한민국,남성,솔로",솔로
Duffy,"영국,여성,솔로",솔로
김유나,"여성,솔로",솔로
BRLLNT,"대한민국,남성,솔로",솔로
서지희,None
윤지성,"대한민국,남성,솔로",솔로
 by Yosi,None
弦子,None
Ken Hirai,"일본,남성,솔로",솔로
태훈,"대한민국,남성,솔로",솔로
나상도,"대한민국,남성,솔로",솔로
TOIL,"대한민국,남성,솔로",솔로
김지수,"대한민국,남성,솔로",솔로
황태자,"대한민국,남성,솔로",솔로
Zion.T,"대한민국,남성,솔로",솔로
이윤지,"대한민국,여성,솔로",솔로
이윤지,"대한민국,여성,솔로",솔로
주이,"대한민국,여성,솔로",솔로
주이,"대한민국,여성,솔로",솔로
CL,"대한민국,여성,솔로",솔로
김나무,"대한민국,남성,솔로",솔로
용감한 홍차,대한민국/남성/그룹,그룹
은규미,"대한민국,여성,솔로",솔로
유성은,"대한민국,여성,솔로",솔로
유성은,"대한민국,여성,솔로",솔로
한혜진,"대한민국,여성,솔로",솔로
Lorde,"뉴질랜드,여성,솔로",솔로
Sora Amamiya,"일본,여성,솔로",솔로
사비나앤드론즈,"대한민국,여성,솔로",솔로
오마이걸 (OH MY GIRL),대한민국/여성/그룹,그룹
茅原実里,None
21 Savage,"도미니카,남성,솔로",솔로
Kozai Kaori,"일본,여성,솔로",솔로
정재윤 (Tula),"대한민국,남성,솔로",솔로
비상구,대한민국/남성/그룹,그룹
LANY,미국/남성/그룹,그룹
위정희,"대한민국,여성,솔로",솔로
손호영,None
Frente!,오스트레일리아/혼성/그룹,그룹
장재인,"대한민국,여성,솔로",솔로
Amine,"미국,남성,솔로",솔로
최현석,"대한민국,남성,솔로",솔로
신동 (SHINDONG),"대한민국,남성,솔로",솔로
洛晴,None
J.Lee,"대한민국,남성,솔로",솔로
성은,"대한민국,여성,솔로",솔로
Clean Bandit,영국/혼성/그룹,그룹
슬옹,None
Black Eyed Peas,미국/혼성/그룹,그룹
三門忠司,None
느낌좋지윤,None
Halesy,None
南宫嘉骏,None
키노 (펜타곤),"대한민국,남성,솔로",솔로
Ziontifik,스페인/남성/그룹,그룹
페이지,"대한민국,여성,솔로",솔로
이한중,"대한민국,남성,솔로",솔로
Nakanoke no Itsutsugo,일본/그룹,그룹
박우철,"대한민국,솔로",솔로
라도,"대한민국,남성,솔로",솔로
윤지영,"대한민국,여성,솔로",솔로
홍진주,"대한민국,여성,솔로",솔로
RAYE,"영국,여성,솔로",솔로
La La Land Cast,"미국,솔로",솔로
Vocal 다비치,None
데니안,"미국,남성,솔로",솔로
天野春子,None
성민지,"대한민국,여성,솔로",솔로
Michael Bolton,"미국,남성,솔로",솔로
브라더수,"대한민국,남성,솔로",솔로
범키,"대한민국,남성,솔로",솔로
복수미,"대한민국,여성,솔로",솔로
Clever,"남성,솔로",솔로
Zeenan,"대한민국,남성,솔로",솔로
시우민 (XIUMIN),"대한민국,남성,솔로",솔로
房东的猫,None
Take#1,"대한민국,솔로",솔로
맴맴,대한민국/남성/그룹,그룹
박규리 (카라),"대한민국,여성,솔로",솔로
김진영,"대한민국,여성,솔로",솔로
박보근,"대한민국,남성,솔로",솔로
Haley Reinhart,"미국,여성,솔로",솔로
F.Cuz,None
GRAY (그레이),"대한민국,남성,솔로",솔로
전우성 Solo,None
吴奇隆,None
周笔畅,None
스테파니 (STEPHANIE),"대한민국,여성,솔로",솔로
장현승,"대한민국,남성,솔로",솔로
조재일,"대한민국,남성,솔로",솔로
오선지,대한민국/혼성/그룹,그룹
Lily Allen,"영국,여성,솔로",솔로
손승연,"대한민국,여성,솔로",솔로
손준혁,"대한민국,남성,솔로",솔로
Elaine Paige,"영국,여성,솔로",솔로
Hoody (후디),"대한민국,여성,솔로",솔로
후니훈,"대한민국,남성,솔로",솔로
かいりきベア / Kairiki Bear,"일본,솔로",솔로
먼데이 키즈 (Monday Kiz),"대한민국,남성,솔로",솔로
정성영,"대한민국,남성,솔로",솔로
지연,"대한민국,여성,솔로",솔로
인피니트,대한민국/남성/그룹,그룹
유성은,"대한민국,여성,솔로",솔로
地縛少年バンド / Jibaku Shonen Band (지바쿠 소년 밴드),"일본,남성,솔로",솔로
以冬,None
西川貴教,None
메이다니 (MAYDONI),"대한민국,여성,솔로",솔로
이동욱,"대한민국,남성,솔로",솔로
천숙경,"대한민국,여성,솔로",솔로
青山テルマ,None
윤딴딴,"대한민국,남성,솔로",솔로
펜타곤,대한민국/남성/그룹,그룹
김연준,"대한민국,남성,솔로",솔로
Lil Jon,"미국,남성,솔로",솔로
브라운 아이드 소울,대한민국/남성/그룹,그룹
Imagine Dragons,미국/남성/그룹,그룹
Rudimental,영국/남성/그룹,그룹
진보,"대한민국,남성,솔로",솔로
애프터스쿨 BLUE,대한민국/여성/그룹,그룹
周兴哲,None
먼치맨(MUNCHMAN),"대한민국,남성,솔로",솔로
봄여름가을겨울,대한민국/남성/그룹,그룹
Yescoba,"대한민국,솔로",솔로
milet,"일본,여성,솔로",솔로
이지영,솔로,솔로
Olly Murs,"영국,남성,솔로",솔로
Nile Rodgers,"미국,남성,솔로",솔로
라즈베리필드,"대한민국,여성,솔로",솔로
Amine,"미국,남성,솔로",솔로
Rachel Platten,"미국,여성,솔로",솔로
WHITE GRAVITY,None
Cosmic Boy,"대한민국,남성,솔로",솔로
아이오아이 (I.O.I),대한민국/여성/그룹,그룹
HRVY,"영국,남성,솔로",솔로
Lazier,"대한민국,솔로",솔로
Iggy Azalea,"오스트레일리아,여성,솔로",솔로
Disclosure,영국/남성/그룹,그룹
HYPNOSISMIC -D.R.B- (Bad Ass Temple),"일본,남성,솔로",솔로
우디즈,None
双笙,None
Buono!,일본/여성/그룹,그룹
나순애,"대한민국,여성,솔로",솔로
이하정,"대한민국,여성,솔로",솔로
송가인,"대한민국,여성,솔로",솔로
이연실,"대한민국,여성,솔로",솔로
沈以诚,None
오사랑,"대한민국,여성,솔로",솔로
조용필,"대한민국,남성,솔로",솔로
이성경,"대한민국,솔로",솔로
SKE48,일본/여성/그룹,그룹
박연(담소네공방),"대한민국,여성,솔로",솔로
Khundi Panda,"대한민국,남성,솔로",솔로
변기수,"대한민국,남성,솔로",솔로
이준혁,"대한민국,솔로",솔로
구피,대한민국/남성/그룹,그룹
아이유,"대한민국,여성,솔로",솔로
H2O,대한민국/남성/그룹,그룹
Drake,"캐나다,남성,솔로",솔로
케이윌,"대한민국,남성,솔로",솔로
현정아,"대한민국,여성,솔로",솔로
심수봉,"대한민국,여성,솔로",솔로
Afterglow,일본/여성/그룹,그룹
대성,"대한민국,남성,솔로",솔로
하성희,"대한민국,여성,솔로",솔로
Foster The People,미국/남성/그룹,그룹
Flow Blow,"대한민국,솔로",솔로
송하예,"대한민국,여성,솔로",솔로
광표,"대한민국,남성,솔로",솔로
나르샤 (Brown Eyed Girls),"대한민국,여성,솔로",솔로
四十物 十四,None
김재덕,"대한민국,남성,솔로",솔로
The Script,아일랜드/남성/그룹,그룹
고은미,"대한민국,여성,솔로",솔로
다린,"대한민국,여성,솔로",솔로
방연지,"대한민국,솔로",솔로
서범석,"대한민국,남성,솔로",솔로
유키스,대한민국/남성/그룹,그룹
BNR,대한민국/남성/그룹,그룹
이환호,"대한민국,남성,솔로",솔로
신효범,"대한민국,여성,솔로",솔로
크레파스,대한민국/여성/그룹,그룹
김그림,"대한민국,여성,솔로",솔로
Dyo,"영국,여성,솔로",솔로
윤호만,"대한민국,남성,솔로",솔로
NS 윤지,"대한민국,여성,솔로",솔로
체리블렛 (Cherry Bullet),대한민국/여성/그룹,그룹
강이채,"대한민국,여성,솔로",솔로
Matoki,"대한민국,솔로",솔로
earattack,"대한민국,솔로",솔로
짤툰,솔로,솔로
쥬비트레인,None
전길원,"대한민국,남성,솔로",솔로
The Peter Malick Group,미국/남성/그룹,그룹
황득경,"대한민국,솔로",솔로
윤혁(디셈버),"대한민국,남성,솔로",솔로
갈프로젝트,"대한민국,남성,솔로",솔로
남백송,"대한민국,남성,솔로",솔로
미스터미스터,대한민국/남성/그룹,그룹
Kei G Travus,None
HYPNOSISMIC -D.R.B- (Fling Posse),일본/남성/그룹,그룹
Narr.이시영,None
BSK A.K.A 김범수,None
주원탁(JUWONTAK),"대한민국,남성,솔로",솔로
노래하는 코트,"대한민국,솔로",솔로
卢焱,None
Machine Gun Kelly,"미국,남성,솔로",솔로
박현암,"대한민국,남성,솔로",솔로
Trey Songz,"미국,남성,솔로",솔로
류기진,"대한민국,남성,솔로",솔로
NCT DREAM,대한민국/남성/그룹,그룹
유준상,"대한민국,남성,솔로",솔로
ナオト・インティライミ,None
Donald Glover,"남성,솔로",솔로
박진도,"대한민국,남성,솔로",솔로
신세령,"대한민국,여성,솔로",솔로
Will.I.Am,"미국,남성,솔로",솔로
라포엠 (LA POEM),대한민국/남성/그룹,그룹
솔지,"대한민국,여성,솔로",솔로
엘 까미니또 (El Caminito),대한민국/여성/그룹,그룹
건아들,대한민국/남성/그룹,그룹
Far East Movement,미국/남성/그룹,그룹
Icona Pop,스웨덴/여성/그룹,그룹
윈디시티,대한민국/남성/그룹,그룹
윤두환,"대한민국,남성,솔로",솔로
Kingdom,대한민국/남성/그룹,그룹
김선아,"대한민국,여성,솔로",솔로
Carpenters,None
李圣杰,None
휘인 (Whee In),"대한민국,여성,솔로",솔로
박선영,"대한민국,솔로",솔로
조광일,"대한민국,남성,솔로",솔로
MC THE MAX,None
G-Eazy,"미국,남성,솔로",솔로
김현철,"대한민국,남성,솔로",솔로
김종민,"대한민국,남성,솔로",솔로
남궁옥분,"대한민국,여성,솔로",솔로
약속,대한민국/여성/그룹,그룹
가영,"대한민국,여성,솔로",솔로
피아노 연주곡 모음,"대한민국,솔로",솔로
James Ingram,"미국,남성,솔로",솔로
XX:me,None
CHAI (이수정),"대한민국,여성,솔로",솔로
도넛맨 (Donutman),"대한민국,남성,솔로",솔로
김은아,솔로,솔로
최낙타,"대한민국,남성,솔로",솔로
허공,"대한민국,남성,솔로",솔로
AAAMYYY,"일본,여성,솔로",솔로
울랄라세션,대한민국/남성/그룹,그룹
小峰峰 (XiaoFengFeng),솔로,솔로
Zoorumpug (주럼퍼그),"대한민국,남성,솔로",솔로
강승식,"대한민국,남성,솔로",솔로
김세황,"대한민국,남성,솔로",솔로
미유,"일본,여성,솔로",솔로
음악그룹 시로,대한민국/혼성/그룹,그룹
Fun.,미국/남성/그룹,그룹
아론 Solo,None
박미옥,"대한민국,여성,솔로",솔로
DJ Pumkin,솔로,솔로
Back Number,일본/남성/그룹,그룹
조규찬,"대한민국,남성,솔로",솔로
임선혜,"대한민국,여성,솔로",솔로
박주연,"대한민국,여성,솔로",솔로
김혜림,"대한민국,여성,솔로",솔로
Snoop Dogg,"미국,남성,솔로",솔로
Kemui,"일본,남성,솔로",솔로
"핑코빛 (지석진, 이광수, 에이핑크)",대한민국/혼성/그룹,그룹
강태관,"대한민국,남성,솔로",솔로
Hyunjun Hur (허현준),"대한민국,남성,솔로",솔로
다운 (Dvwn),"대한민국,남성,솔로",솔로
지선,"대한민국,여성,솔로",솔로
Untell (언텔),"대한민국,남성,솔로",솔로
Kid Cudi,"미국,남성,솔로",솔로
전철민,"대한민국,남성,솔로",솔로
워너원-더힐,None
김도환,"대한민국,남성,솔로",솔로
백승훈,"대한민국,솔로",솔로
朴璐美,None
斉藤壮馬,None
양양 (YANGYANG),"남성,솔로",솔로
김정연,"대한민국,남성,솔로",솔로
신현돈,"대한민국,남성,솔로",솔로
汪苏泷,None
Birdy,"영국,여성,솔로",솔로
315 STARS,None
윤도현,"대한민국,남성,솔로",솔로
하니,"대한민국,여성,솔로",솔로
최영태,"대한민국,남성,솔로",솔로
연민경,"대한민국,솔로",솔로
슈가볼,"대한민국,남성,솔로",솔로
easy life,영국/남성/그룹,그룹
SOLE (쏠),"대한민국,여성,솔로",솔로
MC메타,None
문문 (MoonMoon),"대한민국,남성,솔로",솔로
宮野真守,None
이광룡,"대한민국,남성,솔로",솔로
송영광,"대한민국,남성,솔로",솔로
양하영,"대한민국,여성,솔로",솔로
中原めいこ,"일본,여성,솔로",솔로
Ludacris,"미국,남성,솔로",솔로
쇼콜라,대한민국/여성/그룹,그룹
모이다밴드,대한민국/남성/그룹,그룹
코인,"대한민국,남성,솔로",솔로
ILLIONAIRE RECORDS,대한민국/남성/그룹,그룹
록단장,None
Miso,"대한민국,여성,솔로",솔로
윤소호,"대한민국,남성,솔로",솔로
정일영,"대한민국,남성,솔로",솔로
DJ Frank E,"미국,남성,솔로",솔로
"Run Girls, Run!",일본/여성/그룹,그룹
巡音ルカ,None
다운 (Dvwn),"대한민국,남성,솔로",솔로
Humbert,"대한민국,솔로",솔로
Hashimoto Jin,"일본,남성,솔로",솔로
Jonas Brothers,미국/남성/그룹,그룹
岩崎良美,"일본,여성,솔로",솔로
SZA,"미국,여성,솔로",솔로
TOMMY STRATE (타미 스트레이트),"대한민국,남성,솔로",솔로
나인뮤지스,대한민국/여성/그룹,그룹
쿤타,"대한민국,남성,솔로",솔로
Skrillex,"미국,남성,솔로",솔로
WINNER,대한민국/남성/그룹,그룹
IZ*ONE (아이즈원),대한민국/여성/그룹,그룹
"J-심포니(영탁, 금용)",대한민국/남성/그룹,그룹
배호,"대한민국,남성,솔로",솔로
melody.,"일본,여성,솔로",솔로
장문복,None
김형준,"대한민국,남성,솔로",솔로
Orangestar,None
세븐틴,대한민국/남성/그룹,그룹
木及少年,None
내귀에 도청장치,대한민국/남성/그룹,그룹
大石まどか,None
죠지,"대한민국,남성,솔로",솔로
Duet 이현,None
신재평,"대한민국,남성,솔로",솔로
Twenty★Twenty,None
要不要买菜,None
まふまふ,None
テヨン,None
칠전팔기,대한민국/혼성/그룹,그룹
전소연,"대한민국,여성,솔로",솔로
엔플라잉 (N.Flying),대한민국/남성/그룹,그룹
동원,"대한민국,남성,솔로",솔로
소유미,"대한민국,여성,솔로",솔로
장수원,"대한민국,남성,솔로",솔로
슈퍼스타K4 TOP12,대한민국/혼성/그룹,그룹
EDEN,"아일랜드,남성,솔로",솔로
WABLE (와블),대한민국/여성/그룹,그룹
정승제,"대한민국,남성,솔로",솔로
전지윤 (JENYER),"대한민국,여성,솔로",솔로
빅마마,대한민국/여성/그룹,그룹
Stray Kids (스트레이 키즈),대한민국/남성/그룹,그룹
Kalafina,일본/여성/그룹,그룹
My Chemical Romance,미국/남성/그룹,그룹
웬디 (WENDY),"대한민국,여성,솔로",솔로
김다나,"대한민국,여성,솔로",솔로
김다나,"대한민국,여성,솔로",솔로
바다 (BADA),"대한민국,여성,솔로",솔로
Rent Cast,None
엄지애,"대한민국,여성,솔로",솔로
Min G,"대한민국,여성,솔로",솔로
헤르쯔 아날로그 (Herz Analog),"대한민국,남성,솔로",솔로
Dcup,"오스트레일리아,남성,솔로",솔로
데.비 (데일리 비타민),대한민국/남성/그룹,그룹
Chickenfoot,미국/남성/그룹,그룹
오진석,"대한민국,남성,솔로",솔로
만쥬한봉지,대한민국/혼성/그룹,그룹
PULLIK (박준호),"대한민국,솔로",솔로
임주리,"대한민국,여성,솔로",솔로
Duet.정은지,None
이상구,"대한민국,솔로",솔로
김광율,"대한민국,남성,솔로",솔로
김소리,"대한민국,여성,솔로",솔로
컴백마돈나밴드,대한민국/여성/그룹,그룹
페노메코 (PENOMECO),"대한민국,남성,솔로",솔로
서주경,"대한민국,여성,솔로",솔로
라니아,대한민국/여성/그룹,그룹
최욱,"대한민국,남성,솔로",솔로
Lana Del Rey,"미국,여성,솔로",솔로
Enrique Iglesias,"스페인,남성,솔로",솔로
채정안,"대한민국,여성,솔로",솔로
철싸 (노홍철 & 싸이),대한민국/남성/그룹,그룹
서인국,"대한민국,남성,솔로",솔로
XXXTENTACION,"미국,남성,솔로",솔로
Young Money,미국/남성/그룹,그룹
Duet 이호섭,None
Halsey,"미국,여성,솔로",솔로
빅플로,대한민국/남성/그룹,그룹
이나우,"대한민국,남성,솔로",솔로
Honeyworks,일본/그룹,그룹
성탁,"대한민국,남성,솔로",솔로
버벌진트,"대한민국,남성,솔로",솔로
 Narr.한효주,None
小魂,None
亀と山P,None
김태우,"남성,솔로",솔로
로꼬,"대한민국,남성,솔로",솔로
BOBBY,"대한민국,남성,솔로",솔로
40,"대한민국,남성,솔로",솔로
김애란,"대한민국,여성,솔로",솔로
이준기,"대한민국,남성,솔로",솔로
Janet Jackson,"미국,여성,솔로",솔로
브라운아이드걸스,대한민국/여성/그룹,그룹
윤시윤,"대한민국,남성,솔로",솔로
유주 (여자친구),"대한민국,여성,솔로",솔로
Leon Bridges,"미국,남성,솔로",솔로
R. Kelly,"미국,남성,솔로",솔로
올라이즈 밴드,"대한민국,남성,솔로",솔로
세븐틴,대한민국/남성/그룹,그룹
정미조,"대한민국,여성,솔로",솔로
조경수,"대한민국,남성,솔로",솔로
캐모스타 (Camo Starr),"대한민국,솔로",솔로
배해선,"대한민국,여성,솔로",솔로
木島隆一,None
빈지노 외 7명,None
Way Ched (웨이체드),"대한민국,솔로",솔로
Miwa,"일본,여성,솔로",솔로
오케이션 (Okasian),"대한민국,남성,솔로",솔로
김재하,"대한민국,남성,솔로",솔로
강동호,"대한민국,남성,솔로",솔로
赵方婧,None
안다미로,솔로,솔로
Gen Hoshino (호시노 겐/星野 源),"일본,남성,솔로",솔로
3호선 버터플라이,대한민국/혼성/그룹,그룹
M.O.K (이영목),"대한민국,남성,솔로",솔로
Kana-Boon,일본/남성/그룹,그룹
Plumb,"미국,여성,솔로",솔로
Majid Jordan,캐나다/남성/그룹,그룹
올티 (Olltii),"대한민국,남성,솔로",솔로
JUNIK,"대한민국,남성,솔로",솔로
Nami Miyahara,None
이미선,"대한민국,여성,솔로",솔로
오하영,"대한민국,솔로",솔로
롱디 (LONG:D),대한민국/남성/그룹,그룹
와이낫?,대한민국/남성/그룹,그룹
℃-ute,None
Cher Lloyd,"영국,여성,솔로",솔로
애프터문,대한민국/남성/그룹,그룹
박미경,"대한민국,여성,솔로",솔로
주석,"대한민국,남성,솔로",솔로
유권 (블락비),"대한민국,남성,솔로",솔로
CHAI (이수정),"대한민국,여성,솔로",솔로
Supreme Team,대한민국/남성/그룹,그룹
이마음,"대한민국,여성,솔로",솔로
정선혜,"대한민국,솔로",솔로
홈보이 (Homeboy),"대한민국,남성,솔로",솔로
Le Click,"여성,솔로",솔로
우주미키,대한민국/여성/그룹,그룹
지훈,"대한민국,남성,솔로",솔로
Ayase,None
소울 크라이,"대한민국,남성,솔로",솔로
우현 Solo,None
수호 (SUHO),"대한민국,남성,솔로",솔로
버벌진트,"대한민국,남성,솔로",솔로
호치키스 (김호진),"대한민국,남성,솔로",솔로
한수지,"대한민국,여성,솔로",솔로
미도와 파라솔,대한민국/혼성/그룹,그룹
乌兰托娅,None
나몰라패밀리JW,"대한민국,남성,솔로",솔로
정주형,"여성,솔로",솔로
라니아,대한민국/여성/그룹,그룹
Nathan Sykes,"영국,남성,솔로",솔로
채원,"대한민국,솔로",솔로
WINNER,대한민국/남성/그룹,그룹
장우혁,"대한민국,남성,솔로",솔로
BIGBANG,대한민국/남성/그룹,그룹
Solo E-Sens,None
Bad Meets Evil,미국/남성/그룹,그룹
결 (KYUL),"대한민국,남성,솔로",솔로
정일우,"대한민국,남성,솔로",솔로
오왠 (O.WHEN),"대한민국,남성,솔로",솔로
조승현,"대한민국,솔로",솔로
WUTAN,"대한민국,남성,솔로",솔로
李亚明,None
정인,"대한민국,여성,솔로",솔로
김동한,"대한민국,남성,솔로",솔로
陈粒,None
핫샷 (HOTSHOT),대한민국/남성/그룹,그룹
태사비애,대한민국/여성/그룹,그룹
신현희와김루트,대한민국/혼성/그룹,그룹
자밀킴,"대한민국,남성,솔로",솔로
무감각,"대한민국,남성,솔로",솔로
송유진,"대한민국,솔로",솔로
아이비,"대한민국,여성,솔로",솔로
LiSA,"일본,여성,솔로",솔로
참깨와솜사탕,None
Sound Horizon,"일본,남성,솔로",솔로
Queen,영국/남성/그룹,그룹
Slom,"대한민국,남성,솔로",솔로
1娃·四爷,None
テゴマス,None
천재노창,None
Hello! (박준영),"대한민국,남성,솔로",솔로
강지영,솔로,솔로
キム・ヨンジャ,None
이대휘 (AB6IX),"대한민국,남성,솔로",솔로
大能人,None
세종아,"대한민국,여성,솔로",솔로
Gumi,"일본,솔로",솔로
김준식 (Kim Jun Sik),"대한민국,남성,솔로",솔로
연지후,"대한민국,여성,솔로",솔로
린,"대한민국,여성,솔로",솔로
Tinie Tempah,"영국,남성,솔로",솔로
인피니트F,대한민국/남성/그룹,그룹
Dok2,"대한민국,남성,솔로",솔로
Filter,미국/남성/그룹,그룹
Jeremy Zucker,"미국,남성,솔로",솔로
박영진,"대한민국,남성,솔로",솔로
정기고,"대한민국,남성,솔로",솔로
유하영,"대한민국,여성,솔로",솔로
아웃사이더,"대한민국,남성,솔로",솔로
온앤오프 (ONF),대한민국/남성/그룹,그룹
데이브레이크 (DAYBREAK),대한민국/남성/그룹,그룹
 Beenzino,None
BeBe Mignon,대한민국/여성/그룹,그룹
Vesta Williams,"미국,여성,솔로",솔로
Busy Signal,"자마이카,남성,솔로",솔로
Busy Signal,"자마이카,남성,솔로",솔로
윤한,"대한민국,남성,솔로",솔로
김박첼라,"대한민국,남성,솔로",솔로
김박첼라,"대한민국,남성,솔로",솔로
김현중,"대한민국,남성,솔로",솔로
김추자,"대한민국,여성,솔로",솔로
MOBB (MINO & BOBBY),대한민국/남성/그룹,그룹
KENZIE,"대한민국,여성,솔로",솔로
연준석,"대한민국,남성,솔로",솔로
연준석,"대한민국,남성,솔로",솔로
바닷길 (길 & 바다),대한민국/혼성/그룹,그룹
바닷길 (길 & 바다),대한민국/혼성/그룹,그룹
황민우,"대한민국,여성,솔로",솔로
Stevie Wonder,"미국,남성,솔로",솔로
김태연,"대한민국,여성,솔로",솔로
키겐,"대한민국,남성,솔로",솔로
키겐,"대한민국,남성,솔로",솔로
문수화,"대한민국,여성,솔로",솔로
문수화,"대한민국,여성,솔로",솔로
8Eight,None
김우형,"대한민국,남성,솔로",솔로
G.E.M.邓紫棋,None
1ho,"남성,솔로",솔로
한상원,"대한민국,남성,솔로",솔로
한상원,"대한민국,남성,솔로",솔로
DEAN,"대한민국,남성,솔로",솔로
DEAN,"대한민국,남성,솔로",솔로
기리보이,"대한민국,남성,솔로",솔로
남일이,"대한민국,남성,솔로",솔로
남일이,"대한민국,남성,솔로",솔로
남일이,"대한민국,남성,솔로",솔로
Koresawa,"일본,여성,솔로",솔로
Dr. Dre,"미국,남성,솔로",솔로
Dr. Dre,"미국,남성,솔로",솔로
Dr. Dre,"미국,남성,솔로",솔로
Portugal. The Man,미국/남성/그룹,그룹
유슬기,"대한민국,남성,솔로",솔로
박소연,"대한민국,여성,솔로",솔로
박소연,"대한민국,여성,솔로",솔로
매드클라운,"미국,남성,솔로",솔로
philtre,"대한민국,남성,솔로",솔로
Toi Et Moi,대한민국/혼성/그룹,그룹
Toi Et Moi,대한민국/혼성/그룹,그룹
오연준,"대한민국,남성,솔로",솔로
피타입 (P-TYPE),"대한민국,남성,솔로",솔로
D-Heaven,None
이원석,"대한민국,남성,솔로",솔로
Gloria Estefan,"쿠바,여성,솔로",솔로
BOYCOLD,"대한민국,솔로",솔로
Hash Swan,"대한민국,남성,솔로",솔로
데이비드 오,"미국,남성,솔로",솔로
Duet.김건모,None
로열 파이럿츠,대한민국/남성/그룹,그룹
S.I.S,대한민국/여성/그룹,그룹
小澤亜李,None
 Run!,None
