그룹명,멤버
긱스 ," 릴보이(Lil Boi), 루이(Louie) "
다소니," 솔지, 하니 "
하찌와 TJ," 하찌(기타, 우쿨렐레), TJ(보컬, 우쿨렐레) "
Arctic Monkeys," 알렉스 터너(보컬), 제이미 쿡(기타), 닉 오말리(베이스), 맷 헬더스(드럼) "
윙크," 강주희, 강승희 "
Migos," 퀘이보, Takeoff, Offset "
ENHYPEN," 정원, 희승, 제이, 제이크, 성훈, 선우, 니키 "
TWICE ," 나연, 정연, 모모, 사나, 지효, 미나, 다현, 채영, 쯔위 "
그라고보이," 권률, 금동아 "
Portugal. The Man," John Baldwin Gourley, Zachary Scott Carothers, Kyle O'Quin,  Jason Sechrist "
부활," 김태원(기타, 리더), 채제민(드럼), 박완규(보컬), 최우제(베이스) "
허니지 ," 배재현, 박지용, 권태현 "
Take That," 게리 발로우(Gary Barlow), 마크 오웬(Mark Owen), 하워드 도널드(Howard Donald) "
F-ve Dolls," 효영, 서은교, 나연, 승희, 연경, 혜원 "
술탄 오브 더 디스코," 나잠 수(보컬, 댄스), JJ핫산(댄스, 코러스), 김간지(드럼), 지(베이스), 홍기(기타) "
Badkiz," 은유, 서은, 로지, 세미 "
카드 ," 비엠, 제이셉, 전소민, 전지우 "
JJCC ," 에디, 준영, 프린스 맥, 심바(리더), 산청, 율, 지카 "
이브," 김세헌(보컬), G.고릴라(보컬, 프로듀싱), 김건(베이스), 박웅(기타) "
엘클래스," 서동훈(보컬), 이우람(보컬), 박영탁(보컬, 랩), 민금용(보컬, 랩) "
DIA ," 김정훈(바리톤), 김지현(테너), 김승태(베이스, 리더), 이진희(알토), 모성연(소프라노) "
LEGIT GOONS ," 뱃사공(랩), 블랭(랩), 제이호(랩), 재달(랩), 코드 쿤스트, 아이딜, 빅라이트, 어센틱, 요시, 권오준, 카키, 이동건, 차예준, 부루, 해파리 "
웬즈데이, 한국 
3OH!3," 션 매튜 포맨, 나다니엘 워렌 세스 모테 "
DNCE," 조 조나스(보컬), 잭 로우리스(Jack Lawless, 드럼, 퍼커션), 이진주(Jin Joo Lee, 기타), 콜 휘틀(Cole Whittle, 베이스, 키보드) "
씨리얼," 케미, 레디, 에피, 앤제이 "
STAYC," 수민, 시은, 아이사, 세은, 윤, 재이 "
디셈버," DK(보컬), 윤혁(보컬) "
오렌지 캬라멜," 나나, 레이나, 리지 "
슈퍼키드," 허첵(보컬), 징고(보컬), 헤비포터(베이스) "
투개월," 김예림, 도대윤 "
딕펑스 ," 김태현(보컬), 김현우(피아노), 김재흥(베이스), 박가람(드럼) "
비에이 ," 홍규(리더, 보컬), 영균(보컬), MILLY(랩), 아토(보컬), BomB(랩) "
sajou no hana, 다쓰야 기타니 
레드애플," 영준(리더, 기타), 규민(보컬), 효석(드럼) "
Crispi Crunch ," 치지(Cheezy), 씨에스피(CSP) "
IZ*ONE ," 권은비, 미야와키 사쿠라, 강혜원, 최예나, 이채연, 김채원, 김민주, 야부키 나코, 혼다 히토미, 조유리, 안유진, 장원영 "
글램," 미소, 박지연, 다희, 진희 "
1415," 주성근(보컬), 오지현(기타) "
Little Glee Monster," 세리나(芹奈), 아사히(アサヒ), 마유(MAYU), 카렌(かれん), 마나카(manaka) "
비투비 포유," 서은광, 이민혁, 이창섭, 프니엘 "
Air Supply," 러셀 히치콕(보컬), 그라함 러셀(기타, 보컬) "
Porno Graffitti," 오카노 아키히토(보컬), 신도 하루이치(기타) "
버블 시스터즈," 서승희(보컬), 강현정(보컬), 랑쑈(보컬), 지영(보컬) "
어쿠스틱 콜라보," 김승재, 모수진 "
Wands," 와쿠 지로(보컬), 스기모토 잇세이(기타), 기무라 신야(키보드) "
Ketsumeishi," 다나카 료(랩), 료지(보컬), 다이조(랩), DJ KOHNO(DJ) "
Loudness," 다카사키 아키라(기타), 니이하라 미노루(보컬), 야마시타 마사요시(베이스), 히구치 무네타카(드럼) "
H&D ," 이한결, 남도현 "
이날치," 장영규(베이스), 이철희(드럼), 안이호(보컬), 권송희(보컬), 이나래(보컬), 신유진(보컬) "
ATEEZ ," 홍중, 성화, 윤호, 여상, 산, 민기, 우영, 종호 "
E-girls," 이시이 안나(石井杏奈), 야마구치 노노카(山口乃々華), 타케베 유즈나(武部柚那), 사야카(SAYAKA), 카에다(楓), 후지이 카렌(藤井夏恋), 유리노(YURINO), 스다 안나(須田アンナ), 와시오 레나(鷲尾伶菜), 반도 노조미(坂東希), 사토 하루미(佐藤晴美) "
베스티," 혜연(리더), 해령 "
LM.C," 마야(Maya, 보컬), 아이지(Aiji, 기타) "
주주 클럽," 주다인(보컬), 주승형(기타), 주승환(드럼, 베이스) "
TREASURE ," 홀리스카이, 홍지민, 김민울 "
멜로디데이 ," 차희, 유민, 예인, 여은 "
하라소라," 길하라, 유소라 "
Oneway," 피터, Young sky "
AOA CREAM," 유나, 혜정, 찬미 "
매드몬스터 ," 탄, 제이호 "
JBJ95," 켄타, 상균 "
드림캐쳐," 지유, 수아, 시연, 유현, 다미, 한동, 가현 "
팝시클," 가람, Jay, 미카 "
새벽공방," 희연(보컬, 기타), 여운(피아노) "
백두산," 박찬(드럼), 유현상(보컬, 리더), 김도균(기타), 김창식(베이스) "
소녀시대-태티서 ," 태연, 티파니, 서현 "
기프트 ," 이주혁(보컬), 정휘겸(드럼), 김형우(베이스) "
TOO ," 치훈, 동건, 찬, 지수, 민수, 재윤, 제이유, 경호, 제롬, 웅기 "
동방신기 ," 유노윤호, 최강창민 "
양화진밴드," 김도형(리더, 기타), 용인(세컨기타), 현우빈(보컬), 최재민(드럼), 장경준(베이스) "
It's my turn," 윤조(보컬), FERDY(기타), 원경(드럼) "
Bump Of Chicken," 후지와라 모토오(藤原基央, 보컬, 기타), 나오이 요시후미(直井由文, 베이스), 마스카와 히로아키(増川弘明, 기타), 마스 히데오(升秀夫, 드럼) "
Every Little Thing," 모치다 카오리(보컬), 이치로 이토(기타) "
크라잉넛 ," 박윤식(메인보컬, 기타), 이상면(기타), 한경록(베이스), 이상혁(드럼), 김인수(아코디언, 키보드) "
Anthem," 김진석, 나얼, 김건, 성민 "
Owl City, 솔로
Imagine Dragons," 댄 레이놀즈(Dan Reynolds, 보컬), 벤 맥키(Ben McKee, 베이스), 웨인 서몬(Wayne Sermon, 기타), 다니엘 플라츠맨(Daniel Platzman, 드럼) "
Weeekly ," 이수진, 먼데이, 지한, 신지윤, 박소은, 조아, 이재희 "
Exile," 히로, 마츠, 우사, 마키다이, 아츠시, 아키라, 타카히로, 켄지, 케이지, 테츠야, 네스미스, 쇼키치, 나오토, 나오키, 이와타 타카노리, 시라하마 아란, 세키구치 멘디, 세카이, 사토 타이키 "
Hot Chelle Rae," 라이언 폴스(Ryan Follese, 보컬), 내쉬 오버스트릿(Nash Overstreet, 기타), 이안 케기(Ian Keaggy, 베이스), 제이미 폴스(Jamie Follese, 드럼) "
Daughtry," 크리스 도트리(Chris Daughtry, 보컬, 기타), 조쉬 스틸리(Josh Steely, 기타), 조쉬 폴(Josh Paul, 베이스), 브라이언 크래드독(Brian Craddock, 리듬기타), 로빈 디아즈(Robin Diaz, 드럼) "
Long Shot Party," 사사지(sasaji, 보컬), 슈이치(秀一, 기타), 사이타로(SAITARO, 베이스), 켄 이카와(KEN IIKAWA, 트럼펫), 케이제이(KJ, 색소폰), PxOxN(PxOxN, 드럼) "
스윙걸즈," 이안, 리원, 소리 "
에브리 싱글 데이," 김효영(드럼, 코러스), 문성남(보컬, 베이스), 정재우(기타, 프로그래밍) "
Black Eyed Peas," 윌.아이.엠(리더, 랩, 프로듀스), 애플딥(랩), 타부(랩), 퍼기(보컬) "
갱키즈," 황지현, 최수은, 이해인, 김가화, 소민, 조은별, 전재현 "
용감한 녀석들," 박성광, 신보라, 정태호, 양선일 "
Radiohead," 톰 요크(리더, 보컬, 키보드, 기타), 조니 그린우드(전자키보드, 리드 기타), 에드 오브리엔(리듬 기타, 백업 보컬), 콜린 그린우드(베이스), 필 셀웨이(드럼) "
IN2IT ," 지안, 연태, 인호, 현욱, 아이젝, 인표 "
장기하와 얼굴들," 장기하(보컬), 이민기(기타), 정중엽(베이스), 이종민(건반), 하세가와 요헤이(기타), 전일준(드럼) "
레이지본 ," 김석년(드럼), 안경순(베이스), 준다이(보컬), 노진우(기타, 보컬), 임준규(기타) "
sumika," 카타오카 켄타(片岡健太, 보컬, 기타), 쿠로다 쥰노스케(黒田隼之介, 기타), 오가와 타카유키(小川貴之, 키보드), 아라이 토모유키(荒井智之, 드럼) "
나무자전거," 강인봉(기타, 보컬), 김형섭(기타, 보컬) "
거북이," 지이(랩), 금비(보컬) "
