그룹명,멤버
봄여름가을겨울," 김종진(보컬, 기타, 작사, 작곡, 편곡), 전태관(드럼, 퍼커션) "
페퍼톤스 ," 신재평(기타), 이장원(베이스) "
나인뮤지스," 경리, 혜미, 소진, 금조, 손성아 "
다섯장," 추혁진, 이회택, 김명준, 박형석, 옥진욱 "
알맹," 최린, 이해용 "
탁이준이," 구준엽(래퍼), 이탁(보컬) "
자우림," 이선규(기타), 김윤아(보컬), 김진만(베이스) "
바닷길 ," 길, 바다 "
소리새," 김광석, 윤기환 "
Hey! Say! Jump," 야부 코타, 타카키 유야, 이노오 케이, 야오토메 히카루, 아리오카 다이키, 야마다 료스케, 나카지마 유토, 치넨 유리, 오카모토 케이토 "
Boyz II Men," 숀 스톡맨(Shawn Stockman), 와냐 모리스(Wanya Morris), 나단 모리스(Nathan Morris) "
체리블렛 ," 해윤, 유주, 보라, 지원, 레미, 채린, 메이 "
2winS," 톱밥(TopBob), 범키(Bumkey) "
아이비아이 ," 김소희, 윤채경, 한혜리, 루리, 이해인 "
위아이 ," 장대현, 김동한, 유용하, 김요한, 강석화, 김준서 "
Expose," 앤 컬레스(Ann Curless), 지네트 주라도(Jeanette Jurado), 켈리 머니메이커(Kelly Moneymaker) "
화이팅대디," 심따따(보컬, 기타, 작사, 작곡) "
C-CLOWN," 롬(리더), 시우, 레이, 강준, 티케이, 마루 "
DAY6 ," 성진(리더), Jae, Young K, 원필, 도운 "
Filter," 리차드 패트릭(Richard Patrick, 보컬), 마이크 피네오(Mika Fineo, 드럼), 조니 라드케(Jonny Radtke, 기타), 필 버크만(Phil Buckman, 베이스) "
OneRepublic," 라이언 테더(Ryan Tedder, 보컬, 기타, 피아노), 잭 필킨스(Zach Filkins, 기타, 비올라), 에디 피셔(Eddie Fisher, 드럼), 브렌트 커즐(Brent Kutzle, 보컬, 베이스, 키보드, 첼로), 드류 브라운(Drew Brown, 기타) "
철싸 ," 노홍철, 싸이 "
ONE OK ROCK," 타카(Taka, 보컬), 토루(Toru, 기타), 료타(Ryota, 베이스), 토모야(Tomoya, 드럼) "
NiziU ," 마코, 리쿠, 리마, 리오, 마야, 미이히, 마유카, 아야카, 니나 "
원티드," 김재석, 하동균, 전상환 "
송골매," 김정선(기타, 보컬), 이봉환(리더, 보컬, 키보드), 최승찬(보컬, 키보드), 정준교(베이스), 고중원(드럼) "
XCROSS," 성효람, 제이건 "
Muse," 매튜 벨라미(Matthew Bellamy, 리드보컬, 기타, 키보드), 크리스 볼첸홈(Chris Wolstenholme, 베이스, 기타, 키보드, 서브보컬), 도미닉 하워드(Dominic Howard, 드럼, 신시사이저) "
호피폴라," 아일, 홍진호, 하현상, 김영소 "
제이투엠," 정진우, 정환 "
인피니트H," 장동우, 호야 "
가야랑," 이예랑, 이사랑 "
Bastille," 댄 스미스(Dan Smith, 보컬), 크리스 우드(Chris Wood, 드럼), 카일 사이먼스(Kyle Simmons, 키보드), 윌 파커슨(Will Farquarson, 베이스) "
바닐라 어쿠스틱," 바닐라맨, 성아 "
형돈이와 대준이," 정형돈, 데프콘 "
The Script," 대니 오도노휴(Danny O Donoghue, 보컬), 마크 시언(Mark Sheehan, 기타), 글렌 파워(Glen Power, 드럼) "
칵스 ," 이현송(보컬), SHAUN(신디사이저), 박선빈(베이스), 이수륜(기타) "
지피베이직," 에미트(Amet, 보컬), 트리니티(Trinity, 랩, 보컬), 자이온(Zion, 보컬), 무이(Mooi) "
iKON," 김진환(보컬), BOBBY(랩), 송윤형(보컬), 구준회(보컬), 김동혁(보컬), 정찬우(보컬) "
사랑과 평화," 이철호(리드보컬,퍼커션), 이권희(건반), 박태진(베이스), 박상열(드럼), 이해준(기타) "
MCND," 캐슬제이, 빅, 민재, 휘준, 윈 "
방탄소년단," RM(리더), 진, 슈가, 제이홉, 지민, 뷔, 정국 "
카라," 박규리, 한승연, 구하라, 허영지 "
2AM," 조권(리더), 임슬옹, 정진운, 이창민(리드보컬) "
SURL ," 설호승, 김도연, 이한빈, 오명석 "
M.I.B," 직 재스퍼(리더), 강남(보컬), 심스(랩), 영크림(랩) "
015B," 정석원, 장호일 "
ADOY," 오주환, 지, 정다영, 박근창 "
오마이걸 반하나," 효정, 비니, 아린 "
Going Under Ground," 나카자와 히로키(보컬, 기타), 코노 타케히로(드럼, 보컬), 마츠모토 소우(보컬, 기타), 이시하라 사토시(베이스) "
Afterglow," Veck(보컬, 프로듀서), 이덕성(리드보컬) "
VIXX ," 라비(Ravi), 켄(Ken), 레오(Leo), 엔(N), 혁 "
나인뮤지스A," 경리, 혜미, 소진, 금조 "
업텐션 ," 선율, 쿤, 이진혁, 샤오, 고결, 김우석, 비토, 규진, 환희, 진후 "
다비치," 이해리(리더), 강민경 "
LIP×LIP, 일본음악 
소야앤썬," 소야(보컬), 시진(랩) "
No Doubt," 그웬 스테파니(보컬), 토니 커넬(베이스), 애드리언 영(드럼), 톰 더몬트(기타) "
레이디스 코드," 애슐리, 소정, 주니 "
TraxX ," 제이, 김정모, 긴조 "
Nico & Vinz," Kahouly Nicolay Sereba, Vincent Dery "
Jam Project," 카게야마 히로노부(影山ヒロノブ), 엔도 마사아키(遠藤正明), 키타다니 히로시(きただにひろし), 오쿠이 마사미(奧井雅美), 후쿠야마 요시키(福山芳樹) "
Lady Antebellum," 힐러리 스캇(Hillary Scott, 보컬), 찰스 켈리(Charles Kelley, 보컬), 데이브 헤이우드(Dave Haywood, 기타, 만돌린, 보컬) "
WABLE ," 이기림, 이푸름 "
빅마마 소울," 신연아, 민혜 "
코다 브릿지," 시진(메인보컬), 예지(메인보컬) "
가이즈," 야유(보컬), 료(기타), 슈헤이(드럼), 루이(베이스) "
포레스트 ," 강성민, 김진석, 안성미 "
EVERGLOW ," 이유, 시현, 미아, 온다, 아샤, 이런 "
Chicago," 리 러프넌(Lee Loughnane, 트럼펫), 제임스 팬코우(James Pankow, 트롬본), 월터 페러자이더(Walter Parazaider, 우드윈드), 로버트 램(Robert Lamm, 키보드), 제이슨 쉐프(Jason Scheff, 베이스), 트리스 임보든(Tris Imboden, 드럼), 키스 홀랜드(Keith Howland, 기타), 루 파디니(Lou Pardini, 키보드), 발프레도 레이스(Walfredo Reyes, 퍼커션) "
원투," 송호범(보컬, 랩), 오창훈(보컬, 랩) "
OnlyOneOf ," 나인, Mill, 리에, 준지, Love(리더), 유정, 규빈 "
넬 ," 김종완(보컬), 이재경(기타), 이정훈(베이스), 정재원(드럼) "
Twenty One Pilots," 조쉬 던(Josh Dun, 드럼), 타일러 조셉(Tyler Joseph, 보컬, 건반) "
형섭X의웅," 안형섭, 이의웅 "
미스터미스터," 태이(메인보컬), 창재(랩, 보컬), 도연(보컬), 상현(보컬), 재민(보컬) "
Peaches & Herb," 허버트 핌스터(Herbert Feemster), 프랑신 피치스 베이커(Francine Peaches Barker) "
데블스," 홍필주(트럼펫), 최성근(키보드), 채완식(보컬, 베이스), 김명길(기타), 박문(테너 색소폰), 유기원(드럼) "
Eye To Eye," 수혜(보컬), 나래(보컬), 진선(보컬) "
하이라이트 ," 윤두준, 양요섭, 이기광, 손동운 "
WINNER," 강승윤, 이승훈, 송민호, 김진우 "
Kodaline," Stephen Garrigan(보컬, 기타, 키보드), Vinny May(드럼), Jason Boland(베이스), Mark Prendergast(기타) "
Tokio," 조시마 시게루(리더, 기타, 코러스), 코쿠분 타이치(키보드, 코러스), 마츠오카 마사히로(드럼, 코러스), 나가세 토모야(보컬, 기타) "
에픽하이 ," 타블로(랩, 프로듀서), 미쓰라(랩), 투컷(DJ, 댄서, 프로듀서) "
미쓰에이," 지아, 민, 수지, 페이 "
Chouchou, 샹송 
뉴이스트," JR, 아론, 백호, 민현, 렌 "
Back Number," 시미즈 이요리(清水依与吏), 코지마 카즈야(小島和也), 쿠리하라 히사시(栗原寿) "
嵐 ," 오노 사토시(大野智), 사쿠라이 쇼(櫻井翔), 아이바 마사키(相葉雅紀), 니노미야 카즈나리(二宮和也), 마츠모토 준(松本潤) "
피노다인," 허클베리피(랩), 소울피쉬(작곡) "
Def Leppard," Joe Elliott(보컬, 기타), Rick Savage(베이스, 키보드, 보컬), Rick Allen(드럼), Phil Collen(기타, 보컬), Vivian Campbell(기타, 보컬) "
스피카.S," 박시현, 양지원, 나래, 김보형 "
C.I.V.A," 이수민(랩), 김소희(보컬), 윤채경(보컬) "
노바소닉," 김영석(베이스, 리더), 이수용(드럼), 최문석(키보드), 정구현(기타) "
OuiOui ," 블루니(보컬), 메이지 "
엠블랙," 승호(리더, 보컬), 지오(메인보컬), 미르(랩) "
2NE1," 박산다라(보컬), 씨엘(리더, 보컬, 랩) "
Mihimaru GT," 히로코(阿久津博子, 작사, 보컬), 미야케 미츠유키(三宅光幸, 작사, 작곡, 보컬) "
이바디," 호란(보컬), 거정(드럼, 기타, 프로듀서), 저스틴 킴(베이스, 프로듀서) "
소울커넥션," 씨에스피(Csp), 매슬로(Maslo), 라이믹스(Rhymics), 릴치이지(Lil), 광요 "
노리플라이 ," 권순관(보컬, 건반), 정욱재(기타) "
AB6IX ," 전웅, 김동현, 박우진, 이대휘 "
김창완밴드," 김창완(보컬), 이상훈(키보드), 최원식(베이스), 강윤기(드럼), 염민열(기타) "
더 넛츠 ," 정이한(보컬, 기타), 나준하(보컬, 기타), 노승환(베이스), 김상돈(드럼) "
미스티 블루," 정은수(보컬, 작사, 작곡), 최경훈(베이스, 작사, 작곡, 프로듀싱) "
DNT," 준용(리더), 치호, 태랑, 정조 "
w-inds.," 치바 료헤이(리더, 랩), 타치바나 케이타(보컬), 오가타 류이치(댄스, 랩) "
JJ Project," JB, 진영 "
FTISLAND ," 이홍기(메인보컬), 이재진(베이스, 보컬), 최민환(드럼) "
SS501," 김현중(리더), 허영생, 김규종, 박정민, 김형준 "
J-심포니, 금용 
게이트 플라워즈," 조이엄(기타), YD(드럼), 박근홍(보컬), 유재인(베이스) "
랄라스윗 ," 김현아(보컬, 기타), 박별(건반) "
세훈&찬열," 찬열, 세훈 "
SPYAIR," 이케(Ike, 보컬), 켄타(Kenta, 드럼), 모미켄(Momiken, 베이스), 유지(Uz, 기타) "
치치," 샤인, 세미, 보름, 수이, 아지 "
잔나비," 최정훈(보컬, 리더), 김도형(기타), 윤결(드럼), 장경준(베이스) "
차가운 체리," 김빨강(보컬), 문선수(기타) "
제이워크," 장수원(보컬), 김재덕(보컬, 랩) "
BLACKPINK," 지수, 제니, 로제, 리사 "
마마무 ," 솔라, 문별, 휘인, 화사 "
공원소녀 ," 서령, 서경, 미야, 레나, 앤, 민주, 소소 "
마이티 마우스," 237 AKA 상추, SHORRY J "
King Gnu," 츠네타 다이키(常田大希, 기타, 보컬), 세키 유우(勢喜遊, 드럼), 아라이 카즈키(新井和輝, 베이스), 이구치 사토루(井口理, 보컬, 키보드) "
2PM," JUN. K, 닉쿤, 택연, 우영, 준호, 찬성 "
Green Day," 빌리 조 암스트롱(Billie Joe Armstrong, 보컬, 기타), 마이크 던트(Mike Dirnt, 베이스), 트레 쿨(Tre Cool, 드럼), 제이슨 화이트(Jason White, 보컬, 기타) "
클래지콰이," 크리스티나(보컬), 클래지(리더, 작곡, 믹싱, 프로듀싱, 보컬), 알렉스(보컬), 호란(보컬) "
쇼콜라," 소아, 줄리앤, 멜라니 "
RADWIMPS ," 노다 요지로(Noda Yojiro, 보컬, 기타), 쿠와하라 아키라(Kuwahara Akira, 기타), 타케다 유스케(Takeda Yusuke, 베이스), 야마구치 사토시(Yamaguchi Satoshi, 드럼) "
오션 ," 일권, 창우, 주호, 준영, 준호 "
Fresh Boyz," Jaysofresh(리더), 권사장, 놀부 "
크레용팝," 엘린, 소율, 금미, 초아, 웨이 "
어니언스," 이수영, 임창제 "
네이브로," 정원보, 주재우, 김성한 "
포텐 ," 혜지, 혜진, 히오, 윤 "
offonoff ," 콜드(보컬), EOH(프로듀싱, DJ) "
쿨 ," 김성수(랩), 이재훈(리드보컬), 유리(보컬) "
The Band Perry," 킴벌리 페리(Kimberly Perry, 리드보컬, 기타, 피아노), 닐 페리(Neil Perry, 만돌린, 드럼, 아코디언), 리드 페리(Reid Perry, 베이스기타) "
연하남쓰," 양동옥, 이환 "
GG ," 박명수, G-드래곤 "
훈스 ," 이상훈(보컬), 이종훈(건반, 코러스) "
빅마마," 이지영(보컬), 이영현(보컬) "
Sade," 샤데이 아두(Sade Adu, 보컬), 스튜어트 매튜맨(Stuart Matthewman, 기타), 폴 스펜서 덴만(Paul Spencer Denman, 베이스), 앤드류 하레(Andrew Hale, 키보드) "
원어스 ," 레이븐, 서호, 이도, 건희, 환웅, 시온 "
SKE48," SKE48 팀S, SKE48 팀K2, SKE48 팀E "
전인권밴드," 전인권(보컬), 신석철(드럼), 안지훈(기타), 민재현(베이스), 송형진(트럼펫), 이환(키보드), 양문희(키보드) "
티아라," 지연, 효민, 은정, 큐리(리더) "
Jus2 ," JB, 유겸 "
GReeeeN," 히데(HIDE, 보컬), 나비(navi, 보컬), 쿠니(92, 보컬), 소(SOH, 보컬) "
옥수사진관," 김대홍, 김장호, 노경보 "
CLC," 오승희, 최유진, 장승연, SORN, 장예은, 권은빈 "
전기뱀장어 ," 김예슬(기타), 황인경(보컬, 기타), 눙눙(베이스) "
피어스," 김나예, 김민채, 이은채, 구민솔, 김가린 "
에이프린스," 성원(리더, 메인보컬), 민혁(랩), 승준(보컬), 시윤(보컬), 우빈(보컬) "
오선지, 가요 
구구단 세미나," 세정, 미나, 나영 "
유비트," 일라이, 에이제이 "
어쿠루브," 종한, 인쿠 "
AAA ," 우노 미사코(宇野実彩子, 보컬), 니시지마 타카히로(西島隆弘, 보컬), 스에요시 슈우타(末吉秀太, 랩코러스), 히다카 미츠히로(日高光啓, 랩), 아타에 신지로(與真司郎, 랩코러스) "
내귀에 도청장치," 이진표(보컬), 차명준(드럼), 김정만(기타), 김우진(베이스), 이주원(기타) "
다이나믹 듀오," 최자, 개코 "
이루펀트," 키비, 마이노스 "
Co Shu Nie, 일본음악 
god," 박준형(랩, 리더), 데니안(랩), 윤계상(보컬), 손호영(보컬), 김태우(리드보컬) "
안다미로, YGX 
Mr.Children," 사쿠라이 카즈토시(桜井和寿, 보컬, 기타), 타하라 켄이치(田原健一, 기타), 나카가와 케이스케(中川敬輔, 베이스), 스즈키 히데야(鈴木英哉, 드럼) "
Kirinji," 호리고메 다카키(堀込高樹), 유미키 에리노(弓木英梨乃), 구스노키 히토시(楠均), 지가사키 마나부(千ヶ崎学), 타무라 겐이치(田村玄一), 코토링고(コトリンゴ) "
Florida Georgia Line," 브라이언 켈리(Brian Kelley), 타일러 허바드(Tyler Hubbard) "
Drug Restaurant," 정준영(리더, 보컬), 조대민(기타), 정석원(베이스), 이현규(드럼) "
aespa," 카리나, 윈터, 지젤, 닝닝 "
클럽소울," 서현진(보컬), 오수경(보컬) "
Disclosure," 가이 로렌스(Guy Lawrence), 하워드 로렌스(Howard Lawrence) "
N.E.R.D," 퍼렐 윌리엄스(보컬, 프로듀싱), 채드 휴고(프로듀싱), 샤이(랩) "
Rixton," Jake Roche(보컬, 기타), Charley Bagnall(기타), Lewi Morgan(드럼), Danny Wilkin(베이스, 키보드) "
노크," 부석현, 박호상, 정명규, 이예준 "
BeBe Mignon," 벤, 박가을, 해금 "
Rae Sremmurd," Swae Le, Slim Jimmy "
EXO," 수호, 찬열, 카이, 디오, 백현, 세훈, 시우민, 첸, 레이 "
포스트맨 ," 성태, 신지후 "
LINKIN PARK," 조 한(Joe Hahn, 샘플링, 턴테이블), 브래드 델슨(Brad Delson, 기타), 체스터 베닝턴(Chester Bennington, 보컬), 마이크 시노다(Mike Shinoda, 랩, 키보드, 기타), 롭 버든(Rob Bourdon, 드럼), 피닉스 파렐(Phoenix Farrell, 베이스) "
Queen," 로저 테일러(드럼), 브라이언 메이(기타), 프레디 머큐리(보컬, 피아노), 존 디콘(베이스) "
Westlife," 마크 필리(Mark Feehily, 보컬), 키안 이건(Kian Egan, 보컬), 니키 번(Nicky Byrne, 보컬), 셰인 필란(Shane Filan, 보컬) "
퀸즈 ," 혜민, BOM, 나인 "
Big Brain ," 김진용, 모상훈, 윤홍현, 황병은 "
스피넬," 스핀, 이엘 "
Little Mix," 페리 에드워즈(Perrie Edwards), 제시 넬슨(Jesy Nelson), 리 앤 피녹(Leigh-Anne Pinnock), 제이드 시얼웰(Jade Thirlwall) "
성국이와 상도," 성국, 나상도 "
국카스텐," 하현우(기타, 보컬), 전규호(기타), 이정길(드럼), 김기범(베이스) "
코요태," 김종민(보컬, 랩), 빽가(랩), 신지(보컬) "
DRIPPIN ," 차준호, 황윤성, 김동윤, 이협, 주창욱, 알렉스, 김민서 "
소울다이브," 넋업샨, 지토, 디테오 "
JG 하모니," 장명훈, 강걸 "
블락비 바스타즈," 피오, 유권, 비범 "
제이큐티," 민정(랩, 보컬), 가진(랩, 보컬), 채흔(리더, 메인보컬) "
헬로비너스," 앨리스, 라임, 유영, 서영, 여름 "
핫샷 ," 김티모테오, 고호정, 윤산, 노태현, 하성운, 최준혁(리더) "
AKB48," AKB48 팀A, AKB48 팀K, AKB48 팀B, AKB48 팀4, AKB48 팀8 "
투하트 ," 남우현, Key "
Gym Class Heroes," 트래비 맥코이(Travie McCoy, 리드보컬), 디사시 루뭄바(Disashi Lumumba-Kasongo, 기타), 에릭 로버트(Eric Roberts, 베이스), 맷 맥긴리(Matt McGinley, 드럼) "
텐시러브 ," 전은수(보컬), 고지후(보컬) "
트리탑스," 반형문, 장유준, 김일군, 이우곤 "
디바," 비키(보컬, 랩), 김진(보컬, 랩), 이민경(보컬, 랩) "
배치기," 무웅, 탁 "
라포엠 ," 박기훈, 유채훈, 정민성, 최성훈 "
콜라보이스," 제이건, 와이케이, 기백 "
MAGIC!," 마크 펠리저(Mark Pellizzer, 기타), 알렉스 타나스(Alex Tanas, 드럼), 나스리 앳웨(Nasri Atweh, 리드보컬), 벤 스피박(Ben Spivak, 베이스) "
Kat-Tun," 카메나시 카즈야, 우에다 타츠야, 나카마루 유이치 "
오마이걸 ," 효정, 미미, 유아, 승희, 지호, 비니, 아린 "
젝스키스," 은지원(리더, 랩), 이재진(랩, 안무), 김재덕(랩, 안무), 장수원(보컬) "
Watari Rouka Hashiri Tai 7, 일본음악 
원더걸스," 유빈, 예은, 선미, 혜림 "
뉴이스트 W," JR(리더), Aron, 백호, 렌 "
VICTON ," 한승우, 강승식, 허찬, 임세준, 도한세, 최병찬, 정수빈 "
Verandah Project," 김동률, 이상순 "
CHiCO with HoneyWorks, 일본음악 
라붐 ," 솔빈, 해인, 유정, 소연, 지엔 "
애프터문," 케빈오(보컬), 이종훈(베이스), 최영진(드럼) "
달마시안 ," 동림, 다니엘, 장인태, 사이먼, 다리, 데이 데이 "
7!!, 일본음악 
Pussycat Dolls," 폴라 밴 오펜(Paula van Oppen), 바네사 커리(Vanessa Curry), 로렌 베넷(Lauren Bennett), 에리카 젠킨스(Erica Jenkins), 크리스티나 세이어스(Chrystina Sayers) "
TLC," 티 보즈, 레프트 아이, 칠리 "
사이로," 장인태, 조현승 "
Bon Jovi," 존 본 조비(보컬, 기타), 티코 토레스(드럼), 데이빗 브라이언(키보드) "
포르테 디 콰트로," 고훈정, 김현수, 손태진, 이벼리 "
멜로 브리즈, 제경(보컬) 
닥터코어 911," 문이경민(보컬), 쭈니(드럼), 지루(보컬), 쇼기(베이스), 데빈(기타), 동혁(키보드, 기타) "
S.E.S.," 바다(리드보컬), 유진(보컬), 슈(보컬) "
애프터스쿨 RED," 가희, 정아, 유이, 나나 "
네스티네스티 ," 케빈, 경리, 소진 "
스피드," 신종국, 김정우, 박세준, 김유환(리더), 키오 "
모모랜드 ," 혜빈, 제인, 나윤, 주이, 아인, 낸시 "
소울스타 ," 이창근, 이승우, 이규훈 "
Lifehouse," 제이슨 웨이드(Jason Wade, 보컬, 기타), 릭 울스텐훌름 주니어(Rick Woolstenhulme Jr., 드럼), 브라이스 소더버그(Bryce Soderberg, 베이스 기타), 벤 캐리(Ben Carey, 기타) "
PRISTIN V," 나영(리더), 로아, 은우, 레나, 결경 "
건아들," 박대봉(보컬, 기타), 김관영(드럼), 김유정(키보드) "
트랜스픽션," 해랑(보컬), 천기(드럼), 전호진(기타), 손동욱(베이스) "
Me & You," 알렉스 코완(Alex Cowan), 로버트 루이스(Robert Luis) "
Mrs. Green Apple," 오모리 모토키(大森元貴, 보컬, 기타), 와카이 히로토(若井滉斗, 기타), 야마나카 아야카(山中綾華, 드럼), 후지사와 료카(藤澤涼架, 키보드), 타카노 키요카즈(髙野清宗, 베이스) "
SUPER JUNIOR ," 이특, 희철, 예성, 신동, 은혁, 동해, 시원, 려욱, 규현, 성민 "
CIX ," BX(리더), 승훈(메인보컬), 배진영, 용희, 현석 "
레인보우," 김재경(리더), 고우리, 김지숙, 노을, 오승아, 정윤혜, 조현영 "
Garlixx ," 전경(보컬, 기타), 서상준(드럼), 곽다인(키보드) "
Asian Kung-Fu Generation," 고토 마사후미(後藤正文, 보컬), 키타 켄스케(喜多建介, 기타), 야마다 타카히로(山田貴洋, 베이스), 이지치 키요시(伊地知潔, 드럼) "
4minute," 남지현(리더, 보컬), 허가윤(메인보컬), 전지윤(보컬), 김현아(랩), 권소현(보컬) "
우주소녀," 설아, 엑시(리더), 보나, 성소, 은서, 다영, 다원, 수빈, 선의, 여름, 미기, 루다, 연정 "
클래스메이트," 안병민, 이재성, 허성정(리더) "
W&JAS," 배영준, 한재원, 김상훈, JAS "
크로스진 ," 신원호(보컬), 용석(보컬), 상민(랩) "
오월천," 아신(보컬), 괴수(기타), 석두(기타), 마사(베이스), 관우(드럼) "
싹쓰리," 유두래곤, 린다G, 비룡 "
S.I.S," 민지(랩), 가을(보컬), 앤(보컬), 세빈(보컬) "
Capital Cities," 리안 머천트(Ryan Merchant), 세부 시모니안(Sebu Simonian) "
UNB," 준, 의진, 고호정, 필독, 마르코, 지한솔, 대원, 기중, 찬 "
전설," 리슨(리더, 메인보컬), 제혁(보컬), 로이(보컬), 리토(랩), 창선(보컬) "
EXO-K," 디오, 카이, 수호, 찬열, 세훈, 백현 "
타히티," 민재, 미소, 아리, 제리 "
엠티플," 최원준(리더, 보컬), 래원(보컬) "
골든차일드," 이대열, Y, 이장준, TAG, 배승민, 봉재현, 김지범, 김동현, 홍주찬, 최보민 "
러브시티," 마티(작곡, 보컬), 정수민(작곡) "
언니네 이발관," 이석원(보컬, 기타), 이능룡(기타), 전대정(드럼) "
B.A.P," 힘찬, 대현, 영재, 문종업 "
Girl Next Door," 마에카와 치사(보컬, 前川千紗), 이노우에 유지(井上裕治, 기타), 스즈키 다이스케(鈴木大輔, 키보드) "
소녀시대-Oh!GG," 태연, 써니, 효연, 유리, 윤아 "
Chemistry," 도우친 요시쿠니(堂珍嘉邦), 카와바타 카나메(川畑要) "
신현희와김루트," 김루트(베이스), 신현희(보컬, 기타) "
Roselia, 라틴 
어니스트 , 투어리스트 
Tears For Fears," 롤랜드 오자발(Roland Orzabal), 커트 스미스(Curt Smith) "
ITZY ," 예지, 리아, 류진, 채령, 유나 "
Jonas Brothers," 조 조나스(Joe Jonas, 보컬, 퍼커션), 닉 조나스(Nick Jonas, 기타, 보컬, 키보드), 케빈 조나스(Kevin Jonas, 기타) "
가을방학," 정바비(작사, 작곡), 계피(보컬) "
Red Hot Chili Peppers," 앤소니 키에디스(Anthony Kiedis, 보컬), 플리(Flea, 베이스), 채드 스미스(Chad Smith, 드럼), 조쉬 클링호퍼(Josh Klinghoffer, 기타) "
로코베리," 로코(보컬), 베리(코러스) "
마이네임," 세용, 인수, 준Q, 건우(리더), 채진석 "
뜨거운 감자," 고범준(베이스), 김C(보컬, 기타) "
블루파프리카," 이원영(보컬, 기타), 성기훈(드럼), 강민규(베이스) "
Red Velvet ," 웬디, 아이린, 슬기, 조이, 예리 "
장미여관," 강준우(기타, 보컬), 육중완(기타, 보컬), 임경섭(드럼), 윤장현(베이스), 배상재(기타) "
디유닛," RAMI(보컬, 랩), Ujin, Z.I.N(보컬) "
나몰라패밀리 ," 김경욱(리더), 김태환(탬버린), 고장환(랩) "
SKARF," 페린, 타샤, 제니, 하나 "
강준우, 육중완밴드 
클릭비 ," 강후, 오종혁, 김상혁, 우연석, 유호석, 하현곤, 노민혁 "
Rip Slyme," RYO-Z(MC), FUMIYA(DJ), PES(MC), SU(MC), ILMARI(MC) "
Scandal," 하루나(HARUNA, 보컬, 기타), 마미(MAMI, 기타, 보컬), 토모미(TOMOMI, 베이스, 보컬), 리나(RINA , 드럼, 보컬) "
조남지대 ," 조세호, 남창희 "
B1A4," 신우(보컬, 랩), 산들(메인보컬), 공찬(보컬) "
One Direction," 나일 호란(Niall Horan), 리암 페인(Liam Payne), 해리 스타일스(Harry Styles), 루이 톰린슨(Louis Tomlinson) "
투모로우바이투게더," 수빈, 연준, 범규, 태현, 휴닝카이 "
은방울 자매," 박애경, 오숙남 "
걸스데이," 소진, 유라, 민아, 혜리 "
SG 워너비," 이석훈(보컬), 김진호(리드 보컬), 김용준(리더, 보컬) "
에이프릴 ," 윤채경, 김채원, 이나은, 양예나, 레이첼, 이진솔 "
미스 미스터," 박경서(보컬), 김민정(기타), 이혜민(베이스) "
히트," 현준(보컬), 준택(리드보컬), 우람(보컬), 호원(보컬), 재훈(랩) "
이천원," 일도, 김효빈 "
Sid," 마오(マオ,Vocal), 신지(Shinji,Guitar), 아키(明希,Bass), 유우야(ゆうや,Drums) "
컬투," 정찬우, 김태균 "
티맥스," 신민철, 김준, 박한비, 주찬양 "
환불원정대," 만옥, 천옥, 은비, 실비 "
Cash Cash," 장 폴 마크로프(Jean Paul Makhlouf, 프로듀서, 작사, 보컬), 알렉산더 루크 마크로프(Alexander Luke Makhlouf, 프로듀서, 작사, 키보드), 샘 프리쉬(Sam Frisch, 프로듀서, 작사, DJ) "
컴백마돈나밴드," 김정은, 홍지민, 장신영, 현쥬니 "
테이크어반," 구태한(보컬), 미남오빠(보컬, 작곡) "
Be The Voice," Junko Wada(보컬, 작곡), Shunji Suzuki(기타, 키보드) "
메이트," 임헌일(보컬, 기타), 정준일(보컬, 키보드), 이현재(드럼) "
보헤미안," 김용진, 박상우(리더), 유규상 "
OK PUNK!," 김옥빈, 이태선, 데빈, 이현송, 김슬옹, 김현우 "
브라운아이드걸스," 제아(리더, 리드보컬), 나르샤(보컬), 미료(래퍼), 가인(보컬) "
리듬파워," 보이 비, 지구인, 행주 "
테이커스," 양경석(리더), 폴 "
몬스타엑스," 셔누, 민혁, 기현, 형원, 주헌, 아이엠 "
이블," 세이, 연주, 쥬시, 하야나, 율 "
사람과 나무," 김영경, 이수경, 이장호, 김정환 "
스탠딩 에그," EGG 1호, EGG 2호, EGG 3호 "
LCD Soundsystem," 제임스 머피(James Murphy, 보컬) "
탑독," 상도, 호준, 제로, 비쥬, 상원 "
VERIVERY," 동헌, 호영, 민찬, 계현, 연호, 용승, 강민 "
좋아서하는밴드," 손현(기타), 안복진(아코디언) "
언터쳐블," 슬리피, 디액션 "
클로버," 은지원(리더, 랩, 작사, 작곡, 프로듀서), 길미(보컬, 랩, 작사, 작곡), 타이푼(랩, 작사, 작곡, 프로듀서) "
EXID," LE, 정화, 하니, 솔지, 혜린 "
더블V ," 송은이, 김숙 "
브로맨스 ," 박장현(리더), 박현규, 윤은오, 이현석 "
비너스," 정다경, 박성연, 두리 "
엘리스 ," 소희, 가린, 유경, 벨라, 혜성, 이제이, 채정 "
스윗 콧소로우 ," 정준하, 스윗 소로우 "
MOBB ," 송민호, BOBBY "
듀에토," 백인태, 유슬기 "
쉬즈," 여니엘, 지영, 세연, 진아 "
베리굿 ," 조현, 세형 "
우석 X 관린," 우석, 라이관린 "
씨스타19," 효린, 보라 "
R&J," 류석원, 조은희 "
