, 
문연주,솔로
Chris Brown,솔로
박영진,솔로
한성호,솔로
Charlie Puth,솔로
넥스트,그룹
Lucian,솔로
송하예,솔로
그루비룸 (GroovyRoom),그룹
장윤정,솔로
문희성,솔로
양지은,솔로
김소유,솔로
, 
鬼頭明里 / Akari Kito (키토 아카리),솔로
SEKAI NO OWARI,그룹
세정스님,솔로
, 
TWICE (트와이스),그룹
, 
김중연,솔로
Gloria Estefan,솔로
나윤권,솔로
백아연,솔로
더 맨 블랙 (THE MAN BLK),그룹
폴킴,솔로
, 
김윤아,솔로
권용욱,솔로
초연,솔로
, 
MC몽,솔로
, 
청하,솔로
배치기,그룹
김양,솔로
용감한 홍차,그룹
런치 (LUNCH),솔로
그네,솔로
, 
양준일,솔로
지원이,솔로
어쿠스틱 콜라보,그룹
영재 (GOT7),솔로
Simon & Garfunkel,그룹
GRAY (그레이),솔로
네이브로,그룹
Blue Encount,그룹
박지민,솔로
Kanye West,솔로
한수성,솔로
, 
김동찬,솔로
A.C.E (에이스),그룹
한올,솔로
플라스틱,그룹
Jarryd James,솔로
장재인,솔로
트웰브 (twlv),솔로
여름동요,솔로
미교,솔로
쿠기 (Coogie),솔로
원어스 (ONEUS),그룹
옥상달빛,그룹
양희은,솔로
대현,솔로
하상욱,솔로
, 
CLC,그룹
송가인,솔로
영기,솔로
Shin Sakiura,솔로
, 
ReoNa,솔로
, 
Stray Kids (스트레이 키즈),그룹
갓츄 (GOT U),그룹
Jawsh 685,솔로
가호 (Gaho),솔로
, 
, 
가을로 가는 기차,그룹
김동한,솔로
비니 (오마이걸),솔로
BLACKPINK,그룹
처진 달팽이 (유재석 & 이적),그룹
이용신,솔로
페노메코 (PENOMECO),솔로
BewhY (비와이),솔로
박서진,솔로
노창규,솔로
정국,솔로
김하원,솔로
모노그램,그룹
King Gnu,그룹
승국이,솔로
영민 (보이프렌드),솔로
남규리,솔로
앤씨아,솔로
, 
이혜숙,솔로
Jin (Shizen No Teki P),솔로
NF,솔로
이가야,솔로
KK,솔로
요요미,솔로
남혁,솔로
HYPNOSISMIC -D.R.B- (Division All Stars),솔로
Khalid,솔로
김희진,솔로
Harry Styles,솔로
Jeremy Zucker,솔로
동원,솔로
첸 (CHEN),솔로
최지나,솔로
, 
류은희,솔로
10CM,솔로
김창완밴드,그룹
백지웅,솔로
사랑과 평화,그룹
Ellie Goulding,솔로
유산슬,솔로
Andrea Bocelli,솔로
김윤혜,솔로
카더가든,솔로
The Weeknd,솔로
嵐 (ARASHI),그룹
Marshmello,솔로
X1 (엑스원),그룹
윤현상,솔로
김동연,솔로
RAISE A SUILEN,솔로
LUCY,그룹
사월과 오월,그룹
라이관린,솔로
강문경,솔로
"이로한 (Feat. ELO, Jessi) (Prod. Padi)", 
Tones And I,솔로
이윤경,솔로
투모로우바이투게더,그룹
, 
우림,솔로
RADWIMPS (래드윔프스),그룹
나팔박,솔로
Janet Suhh (자넷서),솔로
이미배,솔로
, 
김은영,솔로
Kana-Boon,그룹
XXXTENTACION,솔로
황선복,솔로
방탄소년단,그룹
DAY6 (데이식스),그룹
신승태,솔로
김경민,솔로
간과 쓸개,그룹
더 베인,솔로
임창정,솔로
Keyakizaka46,그룹
Kelly Clarkson,솔로
San E,솔로
문희옥,솔로
위키미키 (Weki Meki),그룹
세븐틴,그룹
안녕의 온도,그룹
하이런,솔로
ちゃんみな (CHANMINA),솔로
Perfume,그룹
, 
, 
양승호,솔로
하이라이트 (Highlight),그룹
, 
SOYOUNG,솔로
Six Coup MC,그룹
루나 (LUNA),솔로
차오름,솔로
, 
크루셜스타 (Crucial Star),솔로
미스터 붐 박스,솔로
Always You, 
유성호,솔로
, 
, 
이수현,솔로
퀸와사비(Queen WA$ABII),솔로
박수진,솔로
멜로망스,그룹
엔플라잉 (N.Flying),그룹
태진아,솔로
Non Octo,솔로
, 
임한별,솔로
DPR LIVE,솔로
Cardi B,솔로
하은요셉,그룹
저스디스 (JUSTHIS),솔로
ATEEZ (에이티즈),그룹
찌지리,솔로
더보이즈 (THE BOYZ),그룹
비비 (BIBI),솔로
오승근,솔로
Hash Swan,솔로
에이치코드 (H:CODE),솔로
허각,솔로
스무살,솔로
송이한,솔로
이대원,솔로
황치열,솔로
THERAY,솔로
장범준,솔로
에디킴,솔로
류수정 (러블리즈),솔로
김준영,솔로
Tiffany Young,솔로
, 
Jose Feliciano,솔로
박원,솔로
회기동사람들,그룹
왕비,솔로
전미경,솔로
, 
설하윤,솔로
달의하루,그룹
Woodie Gochild,솔로
김국헌 (비오브유),솔로
, 
문옥,솔로
안성훈,솔로
최진호 (BlueWhale),솔로
Colde (콜드),솔로
나에게 넌, 
DJ Khaled,솔로
홍잠언,솔로
, 
Poppin'Party,그룹
Moony,솔로
, 
박구윤,솔로
한세희,솔로
사륜구동,그룹
진보,솔로
VICTON (빅톤),그룹
EVERGLOW (에버글로우),그룹
박제일,솔로
김덕희,솔로
지원사격,그룹
, 
김남주(에이핑크),솔로
, 
뉴챔프,솔로
SuperM,그룹
민호 (MINHO),솔로
이나우,솔로
이해리 (다비치),솔로
Dean Lewis,솔로
Dean Lewis,솔로
먼데이 키즈 (Monday Kiz),솔로
, 
함중아와 양키스,그룹
김효수,솔로
유진,솔로
투앤비 (2NB),솔로
조영구,솔로
이브,그룹
하진 (HAJIN),솔로
IZ*ONE (아이즈원),그룹
도현우,솔로
적재,솔로
하은,솔로
데이먼스 이어 (Damons year),솔로
데이브레이크 (DAYBREAK),그룹
Terashima Junta,솔로
오담률 (김농밀),솔로
, 
Mrs. Green Apple,그룹
손동운,솔로
정다경,솔로
라니아,그룹
코스믹 걸 (Cosmic Girl),솔로
구윤회,솔로
브로맨스 (VROMANCE),그룹
장민호,솔로
, 
Angela,솔로
god,그룹
, 
, 
Charli XCX,솔로
, 
, 
한동근,솔로
차수빈,솔로
나훈아,솔로
윤비 (YunB),솔로
Sayaka Kanda,솔로
조정석,솔로
, 
차영민,솔로
강예슬,솔로
Lukas Graham,그룹
비비 (BIBI),솔로
5 Seconds of Summer,그룹
장보리,솔로
세븐틴,그룹
뽕자매,그룹
네이비쿼카 (NavyQuokka),솔로
반하나,솔로
박효신,솔로
애프터문,그룹
강태관,솔로
유신종,솔로
형돈이와 대준이,그룹
베이식 (Basick),솔로
Lim Kim,솔로
Gracie Abrams,솔로
iKON,그룹
地縛少年バンド / Jibaku Shonen Band (지바쿠 소년 밴드),솔로
조유리 (아이즈원),솔로
박강성,솔로
민해경,솔로
하현상,솔로
D.Ark (디아크),솔로
이혜영,솔로
One Plus One,그룹
미기,솔로
원금순,솔로
, 
, 
전상근,솔로
, 
남승민,솔로
김민규 (Young Kay),솔로
, 
SUMIN (수민),솔로
, 
Raiden,솔로
국카스텐,그룹
amazarashi,그룹
DIA (다이아),그룹
정성희,솔로
보아 (BoA),솔로
Billy Preston,솔로
이채윤,솔로
Sondia,솔로
SF9,그룹
함소원,솔로
카이 (KAI),솔로
마인드유,그룹
밤에,그룹
박소연,솔로
휘성 (Realslow),솔로
Linked Horizon,솔로
Red Velvet (레드벨벳),그룹
규현 (KYUHYUN),솔로
캡사이신,솔로
, 
EXO-CBX (첸백시),그룹
임현식 (비투비),솔로
RM,솔로
박진영,솔로
, 
마마무 (Mamamoo),그룹
로이킴,솔로
The Chainsmokers,그룹
PATEKO (파테코),솔로
TWICE (트와이스),그룹
Andrew Lloyd Webber,솔로
, 
호피폴라,그룹
Akeboshi (明星),솔로
현우빈,솔로
태희,솔로
별이 빛나는 밤,솔로
, 
김하온 (HAON),솔로
백지영,솔로
T.P RETRO (타디스 프로젝트舊),솔로
Joni Mitchell,솔로
지코 (ZICO),솔로
한승기,솔로
양다일,솔로
Ella Mai,솔로
The Quiett,솔로
After the Rain,솔로
펭수,솔로
이바다,솔로
Morfonica,그룹
Drake,솔로
WOOGIE,솔로
Yonezu Kenshi,솔로
싹쓰리,그룹
진민호,솔로
, 
프로미스나인,그룹
, 
IZ*ONE (아이즈원),그룹
로꼬,솔로
브라운 아이드 소울,그룹
최락,솔로
Post Malone,솔로
, 
몬스타엑스,그룹
Liam Payne,솔로
두리 (DooRi),솔로
하성희,솔로
김동률,솔로
코다 브릿지,그룹
에피톤 프로젝트,솔로
유승우,솔로
, 
숀 (SHAUN),솔로
케이윌,솔로
심수봉,솔로
, 
멜로디데이 (MelodyDay),그룹
양준일,솔로
신지,솔로
조대호,솔로
ENHYPEN,그룹
한혜진,솔로
이용백,솔로
임재범,솔로
김산하,솔로
이은상,솔로
V.O.S,그룹
이성종 (인피니트),솔로
, 
러니 (RUNY),솔로
박주희,솔로
후샤,솔로
Miura Daichi,솔로
, 
펀치 (Punch),솔로
, 
백퍼센트,그룹
해바라기,그룹
여은,솔로
칸토,솔로
유라 (youra),솔로
디에이드 (The Ade),그룹
황인성,솔로
NCT 127,그룹
Do As Infinity,그룹
훈스 (HOONS),그룹
유노윤호 (U-KNOW),솔로
빌리어코스티,솔로
, 
Bebe Rexha,솔로
혁오 (HYUKOH),그룹
황인욱,솔로
, 
크나큰,그룹
보라미유,솔로
행숙이,솔로
레오(LEO),솔로
Oscar Dunbar,솔로
Koojahan Volume 1, 
, 
윤희정,솔로
잔나비,그룹
홍주영,솔로
금수광산,그룹
, 
모모랜드 (MOMOLAND),그룹
신유,솔로
강진,솔로
Toyama Nao,솔로
, 
베리굿 (BerryGood),그룹
TREASURE (트레저),그룹
DaBaby,솔로
김요한,솔로
은하 (여자친구),솔로
임영웅,솔로
, 
권인하,솔로
설레임 에디션,그룹
장혜진,솔로
달지,솔로
김동준,솔로
서지안,솔로
여기,솔로
Surf Mesa,솔로
MINO (송민호),솔로
수영 (SOOYOUNG),솔로
창모 (CHANGMO),솔로
Etham,솔로
Whitney Houston,솔로
이수현,솔로
새소년,그룹
아리송,솔로
Wanna One (워너원),그룹
천단비,솔로
Halsey,솔로
윤하 (YOUNHA),솔로
김범수,솔로
, 
차가운 체리,그룹
정은지,솔로
이주혁,솔로
, 
김명환,솔로
, 
김세환,솔로
김재환,솔로
한승우,솔로
전미도,솔로
MJ (ASTRO),솔로
