N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,
170,LG생활건강우,"705,000","1,000",+0.14%,"5,000","14,803","2,100",82.53,"6,107",15.66,N/A,
171,NHN,"73,600",600,-0.81%,500,"14,400","19,565",11.01,"57,688",67.15,1.35,
172,한전기술,"37,500","2,900",-7.18%,200,"14,332","38,220",2.89,"1,174,244",71.16,N/A,
173,효성화학,"446,500","46,500",+11.63%,"5,000","14,244","3,190",9.51,"235,649",-122.63,-2.71,
174,신세계인터내셔날,"198,500","2,000",+1.02%,"5,000","14,173","7,140",3.83,"23,636",27.84,8.24,
175,KODEX 2차전지산업,"19,720",135,+0.69%,0,"14,100","71,500",0.03,"972,758",N/A,N/A,
176,DGB금융지주,"8,290",90,+1.10%,"5,000","14,022","169,146",48.33,"1,338,401",4.22,6.93,
177,SK네트웍스,"5,460",20,+0.37%,"2,500","13,551","248,188",12.06,"851,233",39.28,1.63,
178,지누스,"85,600","2,100",+2.51%,500,"13,525","15,800",22.27,"69,603",29.40,11.61,
179,KODEX 종합채권(AA-이상)액티브,"108,875",160,-0.15%,0,"13,491","12,391",0.00,"9,684",N/A,N/A,
180,코스맥스,"134,000","2,500",-1.83%,500,"13,466","10,050",24.87,"61,308",63.00,6.23,
181,LG전자우,"78,000","1,800",+2.36%,"5,000","13,405","17,186",40.08,"167,535",7.17,N/A,
182,JB금융지주,"6,770",90,+1.35%,"5,000","13,336","196,983",40.44,"429,385",3.67,10.06,
183,솔루엠,"27,050",300,-1.10%,500,"13,279","49,092",0.99,"807,797",27.55,43.26,
184,TIGER 단기통안채,"100,175",0,0.00%,0,"13,153","13,130",0.90,"6,688",N/A,N/A,
185,롯데리츠,"5,400",0,0.00%,500,"13,120","242,969",9.58,"517,641",62.07,1.83,
186,한국콜마,"57,300",500,-0.87%,500,"13,111","22,881",29.26,"144,636",8.18,29.27,
187,명신산업,"32,150","2,950",+10.10%,500,"13,110","40,779",1.58,"6,010,673",N/A,-67.39,
188,세방전지,"93,500","2,400",-2.50%,500,"13,090","14,000",23.98,"156,799",19.75,6.14,
189,한올바이오파마,"24,400",150,-0.61%,500,"12,747","52,241",6.66,"242,820",64.55,12.29,
190,태광산업,"1,143,000","19,000",+1.69%,"5,000","12,726","1,113",7.57,"1,585",12.03,3.26,
191,롯데관광개발,"18,200",450,+2.54%,500,"12,608","69,276",4.39,"562,979",-15.38,-30.43,
192,다우기술,"28,050",650,+2.37%,500,"12,585","44,867",22.39,"207,210",4.57,18.85,
193,KODEX 단기채권PLUS,"103,100",0,0.00%,0,"12,476","12,101",0.00,"299,615",N/A,N/A,
194,LG상사,"32,100",900,+2.88%,"5,000","12,442","38,760",26.12,"335,738",4.18,23.72,
195,더블유게임즈,"67,700",400,+0.59%,500,"12,440","18,375",11.74,"76,236",11.05,16.94,
196,롯데칠성,"138,500","1,500",+1.09%,500,"12,431","8,975",10.57,"16,159",-99.14,-1.00,
197,보령제약,"23,800",350,-1.45%,500,"12,405","52,120",6.58,"882,913",44.91,8.62,
198,KODEX 인버스,"3,775",35,-0.92%,0,"12,246","324,400",2.04,"38,874,959",N/A,N/A,
199,삼양홀딩스,"142,000","2,000",-1.39%,"5,000","12,161","8,564",8.45,"53,371",12.31,6.96,
200,이노션,"60,500",100,+0.17%,500,"12,100","20,000",30.44,"28,846",19.06,8.28,
