Bazzi,I.F.L.Y.,"['pop', 'rnb', '2010s', '2019']"
에이티즈,WAVE,[]
정미애,꿀맛,[]
스텔라장,YOLO,[]
현우빈,아이고 배야,[]
Dean Lewis,Be Alright,"['pop', 'australian', 'indie pop', 'singer-songwriter', 'Pop-Rock']"
ASH ISLAND,Fall,[]
Bebe Rexha,I'm a Mess,"['mental illness', '2010s', '2018', 'pop', 'rock']"
白小白,会不会,[]
孟凡明,只只,[]
谢宇伦,夜半,[]
Braska,水上灯,[]
김연자,영동부르스,[]
적재,우연을 믿어요,[]
양다일,너를 잊으면,[]
세븐틴,바람개비,['so so so so beautiful']
10cm,Island,[]
박재정,너의 마지막이고 싶다,[]
볼빨간사춘기,25,[]
볼빨간사춘기,Taste,[]
볼빨간사춘기,XX,[]
AAA,愛してるのに、愛せない,['Ballad']
김목경,내가 본 마지막 그녀,[]
볼빨간사춘기,워커홀릭,[]
노래를찾는사람들,일요일이 다가는 소리,[]
San E,85년생 정산,[]
Julio Iglesias,Crazy,"['romantic', 'latin', 'julio iglesias', 'love song', 'Julio']"
태연,Lonely night,"['k-pop', 'Korean', 'Kpop', 'pop', 'Queen']"
엔플라잉,골목길에서,[]
그_냥,그대의 바다,[]
로코베리,너에 대한 모든 것,[]
정효빈,달라진 니 마음,[]
승국이,대세남,[]
세븐틴,독 : Fear,[]
전상근,사랑이란 멜로는 없어,[]
민해경,슬픈 약속,[]
하은요셉,여자친구,[]
Post Malone,Circles,"['pop', 'indie pop', '2010s', 'pop rock', '2019']"
세븐틴,Snap Shoot,[]
오왠,않길,[]
정동하,이별을 노래로 만들어 보았습니다,[]
이바다,수채화,[]
김나희,큐피트 화살,[]
마마무,Good Luck,[]
Taylor Swift,Lover,"['pop', 'country', 'Ballad', '2010s', 'taylor swift']"
박지민,Stay Beautiful,[]
Imagine Dragons,Walking The Wire,"['IMAGINE DRAGONS', 'indie', 'rock', 'indie rock', 'american']"
펀치,가끔 이러다,[]
콜드,마음대로,[]
세븐틴,247,[]
Billie Eilish,COPYCAT,"['pop', 'alternative', 'indie', '2010s', 'Billie Eilish']"
세븐틴,Let me hear you say,[]
잔나비,The Secret Of Hard Rock,"['indie', 'rock', 'indie rock', 'Korean', 'k-rock']"
天月-あまつき-,月曜日の憂鬱,[]
세븐틴,거짓말을 해,[]
둘다섯,기도,[]
한승기,슬픈 사랑,[]
권진아,시계 바늘,[]
데이식스,쏟아진다,[]
ヨルシカ,言って。,[]
핑클,남아있는 노래처럼,[]
강예슬,러브레터,[]
혜은이,작은 숙녀,[]
정태춘,저녁 숲 고래여,[]
NCT DREAM,119,"['urban', 'sex', 'the best', 'dark pop']"
Jose Feliciano,Che sara,"['cool', 'jaka to melodia']"
트와이스,Feel Special,[]
심수봉,Love Of Tonight,[]
세븐틴,Network Love,[]
세븐틴,Second Life,[]
Abir,Tango,[]
송가인,Tears,[]
이미자,강명화,[]
적우,그리운 사람,[]
이해리,나만 아픈 일,[]
드림캐쳐,데자부(Deja Vu),[]
NCT 127,악몽(Come Back),[]
강예슬,퐁당퐁당,[]
윤하,26,[]
Harry Styles,Adore You,"['pop', '2010s', '2019', 'british', 'rock']"
EXO,Baby You Are,"['k-pop', '80s', 'Kpop', 'favs', 'Blessed']"
지코,Balloon,[]
방탄소년단,Black Swan,[]
IU,Blueming,"['k-pop', 'spam tier', 'Pops In Seoul', 'monkaMel']"
Kenny Rogers,Coward of the county,"['country', 'kenny rogers', 'classic country', 'coward of the county', 'classic']"
Tones And I,Dance Monkey,"['pop', '2019', '2010s', 'tones and i', 'electropop']"
백예린,Datoom,[]
정준일,Girls,[]
에스에프나인,Good Guy,[]
팔로알토,Grind,[]
정준일,I Am Here,[]
Camila Cabello,Living Proof,"['pop', '2010s', 'Camila Cabello', 'rnb', 'sex music']"
백예린,London,[]
백예린,Mr. gloomy,[]
ちゃんみな,Never Grow Up,[]
백예린,Not a girl,[]
JBJ95,ONLY ONE,[]
마마무,rEALITY,[]
창모,S T A R T,[]
Joji,SLOW DANCING IN THE DARK,"['soul', 'rnb', 'alternative rnb', 'joji', 'Hip-Hop']"
지연,Take A Hike,['best of 2019']
NF,Time,[]
백예린,True lover,[]
Khalid,Up All Night,[]
하현상,US,[]
テヨン,VOICE,[]
육성재,W.A.U,[]
옹성우,WE BELONG,[]
장우혁,WEEKAND,[]
김재환,Who Am I,[]
Aimer,コイワズライ,[]
阿悠悠,乏味,[]
en,你走之后的雨季,[]
叶洛洛,墨书,[]
펀치,가끔 이러다,[]
남화용,가버린 추억,[]
육성재,겨울 속에서,[]
정준일,괜찮아,[]
투모로우바이투게더,그냥 괴물을 살려두면 안 되는 걸까,[]
정태춘,그의 노래는,[]
WAX,그 흔한 김씨,[]
지코,극,[]
윤종신,기다리지 말아요,[]
수지,꽃마리,[]
전영록,나 그대에게,[]
멜로망스,나나나,[]
한동근,나를 기다렸나요,[]
권진아,나의 모양,[]
최백호,낙동강,[]
제이세라,내가 없어,[]
이선희,내 마음 가는 곳,[]
태연,너를 그리는 시간(Drawing Our Moments),[]
